"symbol","date","open","high","low","close","volume","adjusted","returns"
"TPMA.JK",2017-08-01,184,196,177,195,3500,109.115348815918,0.0580638009547611
"TPMA.JK",2017-08-02,187,195,180,187,1500,104.638801574707,-0.0418909417091601
"TPMA.JK",2017-08-03,186,186,185,185,1200,103.519691467285,-0.0107527917762618
"TPMA.JK",2017-08-04,187,187,183,183,9200,102.40055847168,-0.0108696722369039
"TPMA.JK",2017-08-07,183,184,182,183,1400,102.40055847168,0
"TPMA.JK",2017-08-08,183,183,173,174,37200,97.3644714355469,-0.050430853626892
"TPMA.JK",2017-08-09,183,183,172,172,100400,96.2453384399414,-0.011560822401076
"TPMA.JK",2017-08-10,172,172,172,172,0,96.2453384399414,0
"TPMA.JK",2017-08-11,172,172,167,167,4000,93.4475021362305,-0.029500664396698
"TPMA.JK",2017-08-14,168,175,168,170,1700,95.1261901855469,0.0178046246335067
"TPMA.JK",2017-08-15,176,176,176,176,100,98.4835968017578,0.0346855579878901
"TPMA.JK",2017-08-16,204,204,183,183,14300,102.40055847168,0.0390021578032692
"TPMA.JK",2017-08-17,183,183,183,183,0,102.40055847168,0
"TPMA.JK",2017-08-18,192,192,181,186,9800,104.079246520996,0.0162605208717803
"TPMA.JK",2017-08-21,186,186,175,178,11300,99.6027297973633,-0.0439631234211161
"TPMA.JK",2017-08-22,180,182,173,173,120500,96.8048934936523,-0.0284919557943062
"TPMA.JK",2017-08-23,174,188,174,188,17300,105.198379516602,0.0831503683321702
"TPMA.JK",2017-08-24,196,196,174,178,347400,99.6027297973633,-0.0546584125378641
"TPMA.JK",2017-08-25,174,178,170,175,131500,97.9240264892578,-0.0169975763685711
"TPMA.JK",2017-08-28,175,175,173,173,52200,96.8048934936523,-0.0114943794257351
"TPMA.JK",2017-08-29,173,176,172,174,3500,97.3644714355469,0.00576370471675013
"TPMA.JK",2017-08-30,174,175,171,175,103500,97.9240264892578,0.00573067470898507
"TPMA.JK",2017-08-31,175,175,175,175,0,97.9240264892578,0
"TPMA.JK",2017-09-01,175,175,175,175,0,97.9240264892578,0
"TPMA.JK",2017-09-04,184,184,178,178,12900,99.6027297973633,0.0169975763685711
"TPMA.JK",2017-09-05,178,178,166,175,28500,97.9240264892578,-0.0169975763685711
"TPMA.JK",2017-09-06,171,171,171,171,1e+05,95.6857604980469,-0.0231224174208543
"TPMA.JK",2017-09-07,168,168,168,168,300,94.007080078125,-0.017699577099401
"TPMA.JK",2017-09-08,178,178,178,178,4200,99.6027297973633,0.0578195708888262
"TPMA.JK",2017-09-11,173,176,172,176,30100,98.4835968017578,-0.0112995552539334
"TPMA.JK",2017-09-12,196,202,170,171,70700,95.6857604980469,-0.028820438535492
"TPMA.JK",2017-09-13,171,175,171,174,9000,97.3644714355469,0.0173917427118692
"TPMA.JK",2017-09-14,174,174,174,174,2700,97.3644714355469,0
"TPMA.JK",2017-09-15,174,174,174,174,1100,97.3644714355469,0
"TPMA.JK",2017-09-18,174,174,174,174,100,97.3644714355469,0
"TPMA.JK",2017-09-19,172,172,172,172,6500,96.2453384399414,-0.011560822401076
"TPMA.JK",2017-09-20,173,173,164,171,7300,95.6857604980469,-0.00583092031079321
"TPMA.JK",2017-09-21,171,171,171,171,0,95.6857604980469,0
"TPMA.JK",2017-09-22,172,172,172,172,1500,96.2453384399414,0.00583092031079314
"TPMA.JK",2017-09-25,173,173,170,170,7500,95.1261901855469,-0.0116960397631913
"TPMA.JK",2017-09-26,170,170,170,170,0,95.1261901855469,0
"TPMA.JK",2017-09-27,169,169,167,167,329500,93.4475021362305,-0.0178046246335067
"TPMA.JK",2017-09-28,177,177,177,177,100,99.0431671142578,0.0581559201570741
"TPMA.JK",2017-09-29,175,175,170,170,2800,95.1261901855469,-0.0403512955235673
"TPMA.JK",2017-10-02,168,168,166,166,17100,92.8879470825195,-0.0238106486937186
"TPMA.JK",2017-10-03,166,166,166,166,0,92.8879470825195,0
"TPMA.JK",2017-10-04,166,168,165,168,14000,94.007080078125,0.0119761910467156
"TPMA.JK",2017-10-05,166,166,165,165,600,92.328369140625,-0.0180185055026784
"TPMA.JK",2017-10-06,168,168,168,168,15000,94.007080078125,0.0180185055026782
"TPMA.JK",2017-10-09,168,168,168,168,300,94.007080078125,0
"TPMA.JK",2017-10-10,168,168,168,168,85000,94.007080078125,0
"TPMA.JK",2017-10-11,165,165,163,165,15200,92.328369140625,-0.0180185055026784
"TPMA.JK",2017-10-12,165,173,163,173,169300,96.8048934936523,0.0473461205971984
"TPMA.JK",2017-10-13,173,173,173,173,0,96.8048934936523,0
"TPMA.JK",2017-10-16,164,171,164,165,5600,92.328369140625,-0.0473461205971983
"TPMA.JK",2017-10-17,165,165,165,165,40000,92.328369140625,0
"TPMA.JK",2017-10-18,175,175,175,175,100,97.9240264892578,0.0588405000229334
"TPMA.JK",2017-10-19,174,174,174,174,1000,97.3644714355469,-0.00573067470898498
"TPMA.JK",2017-10-20,166,166,166,166,100,92.8879470825195,-0.0470675108579859
"TPMA.JK",2017-10-23,166,166,166,166,0,92.8879470825195,0
"TPMA.JK",2017-10-24,166,166,166,166,0,92.8879470825195,0
"TPMA.JK",2017-10-25,172,172,162,172,400,96.2453384399414,0.0355066884569098
"TPMA.JK",2017-10-26,163,170,163,170,5600,95.1261901855469,-0.0116960397631913
"TPMA.JK",2017-10-27,170,170,170,170,0,95.1261901855469,0
"TPMA.JK",2017-10-30,168,168,168,168,700,94.007080078125,-0.0118344576470028
"TPMA.JK",2017-10-31,171,175,170,175,59300,97.9240264892578,0.0408219945202552
"TPMA.JK",2017-11-01,174,174,174,174,500,97.3644714355469,-0.00573067470898498
"TPMA.JK",2017-11-02,174,174,174,174,0,97.3644714355469,0
"TPMA.JK",2017-11-03,174,174,174,174,14200,97.3644714355469,0
"TPMA.JK",2017-11-06,174,174,174,174,100,97.3644714355469,0
"TPMA.JK",2017-11-07,174,174,174,174,0,97.3644714355469,0
